HSN,TSN,KTYPNR,Brand,Status
588.0,AGQ,23300.0,Audi,1.0
588.0,AGP,26912.0,Audi,1.0
588.0,AGO,23299.0,Audi,1.0
588.0,AGN,29976.0,Audi,2.0
588.0,AGM,23189.0,Audi,1.0
588.0,AGL,26581.0,Audi,1.0
588.0,AGK,30986.0,Audi,1.0
588.0,AGJ,23187.0,Audi,1.0
588.0,AGI,23188.0,Audi,1.0
588.0,AGH,22558.0,Audi,1.0
588.0,AGG,22551.0,Audi,1.0
588.0,AGF,22550.0,Audi,1.0
588.0,AGE,26644.0,Audi,1.0
588.0,AGD,22548.0,Audi,1.0
588.0,AGC,29974.0,Audi,1.0
588.0,AGB,22547.0,Audi,1.0
588.0,AGA,22549.0,Audi,1.0
588.0,AFZ,28169.0,Audi,2.0
588.0,AFY,20110.0,Audi,1.0
588.0,AFX,20109.0,Audi,1.0
588.0,AFW,20911.0,Audi,2.0
588.0,AFV,20910.0,Audi,2.0
588.0,AFU,19914.0,Audi,1.0
588.0,AFT,20864.0,Audi,1.0
588.0,AFS,19476.0,Audi,1.0
588.0,AFR,26554.0,Audi,2.0
588.0,AFQ,26553.0,Audi,2.0
588.0,AFP,26556.0,Audi,2.0
588.0,AFO,26555.0,Audi,2.0
588.0,AFM,19843.0,Audi,1.0
588.0,AFL,19845.0,Audi,1.0
588.0,AFK,19842.0,Audi,1.0
588.0,AFJ,19844.0,Audi,1.0
588.0,AFH,32688.0,Audi,2.0
588.0,AFG,19488.0,Audi,1.0
588.0,AFF,26547.0,Audi,2.0
588.0,AFE,18939.0,Audi,1.0
588.0,AFD,18938.0,Audi,1.0
588.0,AFB,26548.0,Audi,2.0
588.0,AFA,19826.0,Audi,1.0
588.0,AEZ,19825.0,Audi,1.0
588.0,AEX,17323.0,Audi,1.0
588.0,AEW,17142.0,Audi,1.0
588.0,AEV,16323.0,Audi,1.0
588.0,AEU,16983.0,Audi,1.0
588.0,AET,17617.0,Audi,1.0
588.0,AES,17324.0,Audi,1.0
